plate	sample	inferred_type	numAcquisitions	A_cleavage_1	SN_A_cleavage_1	A_cleavage_2	SN_A_cleavage_2	A_intact	SN_A_intact	B_cleavage_1	SN_B_cleavage_1	B_cleavage_2	SN_B_cleavage_2	B_intact	SN_B_intact	E_cleavage_1	SN_E_cleavage_1	E_cleavage_2	SN_E_cleavage_2	E_intact	SN_E_intact	F_cleavage_1	SN_F_cleavage_1	F_cleavage_2	SN_F_cleavage_2	F_intact	SN_F_intact	F5_cleavage_1	SN_F5_cleavage_1	F5_cleavage_2	SN_F5_cleavage_2	F5_intact	SN_F5_intact
157016	288	F	2	-1	-1	-1	-1	3287.623776025293	1444.0770212225921	-1	-1	-1	-1	4026.2962224249886	431.41321484866518	-1	-1	-1	-1	3616.1981836073714	708.35279833677839	-1	-1	3787.4096306111824	28.451427939336082	-1	-1	-1	-1	-1	-1	5112.809738062102	384.64733139055357
157016	387	A,B,F	2	-1	-1	2307.5749759729015	131.71147768286912	3287.443739904314	1830.7180927694815	1761.0045675359984	188.63346711485821	2284.735297236527	474.14409307461381	4026.3762463333828	672.63246279905786	-1	-1	-1	-1	3615.9486293593309	1371.3519846673914	-1	-1	3786.8660376824059	29.650375465842433	-1	-1	-1	-1	-1	-1	5112.4874716059394	833.84593530306836
157016	692	F	2	-1	-1	-1	-1	3287.3673423986938	1679.6829980975265	-1	-1	-1	-1	4026.5410697721813	1363.8305515069844	-1	-1	-1	-1	3615.8539375545834	1411.9413915492389	-1	-1	3786.8096940311539	27.164316707940493	-1	-1	-1	-1	-1	-1	5112.4127182887023	713.54580563373781
157016	776	A,B,F	2	-1	-1	2307.1028099110626	79.088331544108286	3287.378386115387	2373.7321118163441	1761.1094485207639	644.14429806304065	2284.9717826685255	1002.3484964071988	4026.6081167779948	1280.1458072851817	-1	-1	-1	-1	3616.0692328276355	1310.0667635616651	-1	-1	3786.7273009863684	32.101322949917126	-1	-1	-1	-1	-1	-1	5112.5008244587552	906.21053258502195
157016	833	E,F (inconclusive: 1 conflicts)	2	-1	-1	-1	-1	3287.546121080873	1600.3104390339431	-1	-1	-1	-1	4026.3548864181403	818.64120358482899	-1	-1	2500.07969916602	11.582873084031089	3616.2372548881112	1022.4310460699044	1343.0665646502227	11.792753347663634	3787.2298175781161	29.693831792848513	-1	-1	-1	-1	-1	-1	5112.8291346862397	667.93356423095997
157016	NC	F	2	-1	-1	-1	-1	3287.379295524629	2028.9442550866167	-1	-1	-1	-1	4026.4062231717417	1409.9532190626303	-1	-1	-1	-1	3615.9885317572471	1272.7520182524065	-1	-1	3787.0754417142257	35.391884201159733	-1	-1	-1	-1	-1	-1	5112.233296415694	828.62968935847437
157016	PC	A,B,E,F (inconclusive: 2 conflicts)	4	998.96936097985679	271.58879745330057	2306.7956303590377	97.278475573513177	3287.4055318190776	294.08929712735085	1760.7608797940011	397.69766953399119	2284.4030636487605	662.98655207604895	4025.9037617139174	895.52943430379003	1133.2075851682569	77.358980124033437	2496.3033805916166	16.310125375825042	3615.8957206915488	939.13261150763492	1346.8019084476841	377.60117445729077	3785.074141216814	525.80581146697011	-1	-1	-1	-1	-1	-1	5112.8542869365856	437.26819780522362
157016	PT	A,E,F	2	998.95357186212107	332.77802099682668	2307.3441823258672	837.47197740305296	3287.5024874423038	58.864156668715829	-1	-1	-1	-1	4026.2442357983628	1144.7787861183103	-1	-1	2495.6702845801337	19.975781143167492	3615.8322454231084	1331.7763023949192	-1	-1	3787.1028924153547	30.691465551414066	-1	-1	-1	-1	-1	-1	5112.367147721694	560.58779995908299
